title,rating,price_inr,category_name
It's Only the Himalayas,2,4765.435,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4,5214.865,Travel
See America: A Celebration of Our National Parks & Treasured Sites,3,5155.785,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2,3897.1699999999996,Travel
Under the Tuscan Sun,3,3938.3149999999996,Travel
A Summer In Europe,2,4677.870000000001,Travel
The Great Railway Bazaar,1,3221.97,Travel
A Year in Provence (Provence #1),4,6000.84,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1,2448.655,Travel
Neither Here nor There: Travels in Europe,3,4109.225,Travel
"1,000 Places to See Before You Die",5,2751.4399999999996,Travel
Sharp Objects,4,5045.01,Mystery
"In a Dark, Dark Wood",1,2070.9649999999997,Mystery
The Past Never Ends,4,5960.75,Mystery
A Murder in Time,1,1755.52,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),4,4652.55,Mystery
The Last Mile (Amos Decker #2),2,5719.155,Mystery
That Darkness (Gardiner and Renner #1),1,1468.56,Mystery
Tastes Like Fear (DI Marnie Rome #3),1,1127.7949999999998,Mystery
A Time of Torment (Charlie Parker #14),5,5100.925,Mystery
A Study in Scarlet (Sherlock Holmes #1),2,1765.015,Mystery
Poisonous (Max Revere Novels #3),3,2827.4,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),4,5734.98,Mystery
Most Wanted,3,3722.04,Mystery
Hide Away (Eve Duncan #20),1,1249.12,Mystery
Boar Island (Anna Pigeon #19),3,6275.139999999999,Mystery
The Widow,2,2875.9300000000003,Mystery
Playing with Fire,3,1446.4050000000002,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),5,2676.5350000000003,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,5517.65,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),4,2203.895,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),4,2616.4,Mystery
In the Woods (Dublin Murder Squad #1),2,4049.09,Mystery
The Silkworm (Cormoran Strike #2),5,2431.775,Mystery
The Exiled,3,4583.975,Mystery
The Cuckoo's Calling (Cormoran Strike #1),1,2026.6550000000002,Mystery
Extreme Prey (Lucas Davenport #26),3,2679.7,Mystery
Career of Evil (Cormoran Strike #3),2,2607.96,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,6087.35,Mystery
The Girl You Lost,5,1296.5949999999998,Mystery
The Girl In The Ice (DCI Erika Foster #1),3,1672.175,Mystery
Blood Defense (Samantha Brinkman #1),3,2141.65,Mystery
1st to Die (Women's Murder Club #1),1,5694.889999999999,Mystery
Tipping the Velvet,1,5669.570000000001,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,3132.295,Historical Fiction
A Flight of Arrows (The Pathfinders #2),5,5858.415,Historical Fiction
The House by the Lake,1,3898.2250000000004,Historical Fiction
Mrs. Houdini,5,3191.375,Historical Fiction
The Marriage of Opposites,4,2962.4399999999996,Historical Fiction
Glory over Everything: Beyond The Kitchen House,3,4836.120000000001,Historical Fiction
"Love, Lies and Spies",2,2168.025,Historical Fiction
A Paris Apartment,4,4115.554999999999,Historical Fiction
Lilac Girls,2,1823.0400000000002,Historical Fiction
The Constant Princess (The Tudor Court #1),3,1753.41,Historical Fiction
The Invention of Wings,1,3939.3700000000003,Historical Fiction
World Without End (The Pillars of the Earth #2),4,3478.335,Historical Fiction
The Passion of Dolssa,5,2987.76,Historical Fiction
Girl With a Pearl Earring,1,2824.235,Historical Fiction
Voyager (Outlander #3),5,2222.885,Historical Fiction
The Red Tent,5,3762.1299999999997,Historical Fiction
The Last Painting of Sara de Vos,2,5860.525,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,1,5225.415,Historical Fiction
Girl in the Blue Coat,2,4940.565,Historical Fiction
Between Shades of Gray,5,2193.345,Historical Fiction
While You Were Mine,5,4359.26,Historical Fiction
The Secret Healer,3,3646.0800000000004,Historical Fiction
Starlark,3,2725.0649999999996,Historical Fiction
Lost Among the Living,4,2922.35,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),5,1790.3349999999998,Historical Fiction
