book_id,title,price_gbp,price_inr,rating,in_stock,category_id
1,It's Only the Himalayas,45.17,4765.435,2,1,1
2,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.865,4,1,1
3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.785,3,1,1
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.1699999999996,2,1,1
5,Under the Tuscan Sun,37.33,3938.3149999999996,3,1,1
6,A Summer In Europe,44.34,4677.870000000001,2,1,1
7,The Great Railway Bazaar,30.54,3221.97,1,1,1
8,A Year in Provence (Provence #1),56.88,6000.84,4,1,1
10,Neither Here nor There: Travels in Europe,38.95,4109.225,3,1,1
12,Sharp Objects,47.82,5045.01,4,1,2
14,The Past Never Ends,56.5,5960.75,4,1,2
16,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,1,2
17,The Last Mile (Amos Decker #2),54.21,5719.155,2,1,2
20,A Time of Torment (Charlie Parker #14),48.35,5100.925,5,1,2
23,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,1,2
24,Most Wanted,35.28,3722.04,3,1,2
26,Boar Island (Anna Pigeon #19),59.48,6275.139999999999,3,1,2
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,1,2
33,In the Woods (Dublin Murder Squad #1),38.38,4049.09,2,1,2
35,The Exiled,43.45,4583.975,3,1,2
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,1,2
43,1st to Die (Women's Murder Club #1),53.98,5694.889999999999,1,1,2
44,Tipping the Velvet,53.74,5669.570000000001,1,1,3
46,A Flight of Arrows (The Pathfinders #2),55.53,5858.415,5,1,3
47,The House by the Lake,36.95,3898.2250000000004,1,1,3
48,Mrs. Houdini,30.25,3191.375,5,1,3
50,Glory over Everything: Beyond The Kitchen House,45.84,4836.120000000001,3,1,3
52,A Paris Apartment,39.01,4115.554999999999,4,1,3
55,The Invention of Wings,37.34,3939.3700000000003,1,1,3
56,World Without End (The Pillars of the Earth #2),32.97,3478.335,4,1,3
60,The Red Tent,35.66,3762.1299999999997,5,1,3
61,The Last Painting of Sara de Vos,55.55,5860.525,2,1,3
62,The Guernsey Literary and Potato Peel Pie Society,49.53,5225.415,1,1,3
63,Girl in the Blue Coat,46.83,4940.565,2,1,3
65,While You Were Mine,41.32,4359.26,5,1,3
66,The Secret Healer,34.56,3646.0800000000004,3,1,3
