book_id,title,price_gbp,price_inr,rating,in_stock,category_id
26,Boar Island (Anna Pigeon #19),59.48,6275.139999999999,3,1,2
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,1,2
8,A Year in Provence (Provence #1),56.88,6000.84,4,1,1
14,The Past Never Ends,56.5,5960.75,4,1,2
61,The Last Painting of Sara de Vos,55.55,5860.525,2,1,3
46,A Flight of Arrows (The Pathfinders #2),55.53,5858.415,5,1,3
23,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,1,2
17,The Last Mile (Amos Decker #2),54.21,5719.155,2,1,2
43,1st to Die (Women's Murder Club #1),53.98,5694.889999999999,1,1,2
44,Tipping the Velvet,53.74,5669.570000000001,1,1,3
